Year;Divorces  The data is from Dansk Statistik https://www.statistikbanken.dk/HISB3, P.E. Müller’s ‘Nogle statistiske Oplysninger om Separationer og Skilsmisser i Danmark’ and Harald Westergaard’s ‘Om Separationer og Skilsmisser i Danmark. En statistisk Undersøgelse’.
1869;166
1870;175
1871;152
1872;197
1873;174
1874;184
1875;187
1876;198
1877;186
1878;181
1879;197
1880;213
1881;223
1882;222
1883;218
1884;243
1885;
1886;
1887;
1888;
1889;
1890;
1891;
1892;
1893;
1894;
1895;
1896;316
1897;344
1898;349
1899;372
1900;381
1901;376
1902;483
1903;450
1904;473
1905;549
1906;590
1907;661
1908;650
1909;734
1910;749
1911;736
1912;724
1913;801
1914;887
1915;878
1916;917
1917;1012
1918;1098
1919;1294
1920;1223
1921;1390
1922;1308
1923;1878
1924;1707
1925;1889
1926;1904
1927;2135
1928;2307
1929;2265
1930;2300
1931;2472
1932;2514
1933;2762
1934;3032
1935;2992
1936;3210
1937;3344
1938;3394
1939;3647
1940;3472
1941;3761
1942;4450
1943;4913
1944;5365
1945;5849
1946;7500
1947;6943
1948;7120
1949;6991
1950;6868
1951;6681
1952;6735
1953;6515
1954;6686
1955;6771
1956;6499
1957;6436
1958;6571
1959;6457
1960;6682
1961;6606
1962;6409
1963;6460
1964;6483
1965;6527
1966;6726
1967;6939
1968;7572
1969;8955
1970;9524
1971;13401
1972;13134
1973;12637
1974;13132
1975;13264
1976;13064
1977;13383
1978;13072
1979;13044
1980;13593
1981;14425
1982;14621
1983;14763
1984;14490
1985;14385
1986;14490
1987;14381
1988;14717
1989;15153
1990;13740
1991;12677
1992;13019
1993;13027
1994;13771
1995;13045
1996;12845
1997;12861
1998;13220
1999;13615
2000;14472
2001;14692
2002;15411
2003;15884
2004;15877
2005;15438
2006;14454
2007;14183
2008;14821
2009;15073
2010;14600
2011;14632
2012;15852
2013;19060
2014;19639
2015;16478
2016;17334
2017;15359
2018;15102
2019;10582
2020;15720
2021;12942
2022;12320
2023;12862
2024;12856
2025;14383






